,soil_type,Seedling Stage,MOI,temp,humidity,result
1992,Sandy Soil,Flowering,93,37,44.0,0
1993,Sandy Soil,Flowering,94,38,41.0,0
1994,Sandy Soil,Flowering,95,39,38.0,0
1995,Sandy Soil,Flowering,96,40,35.0,0
1996,Sandy Soil,Flowering,97,41,32.0,0
1997,Sandy Soil,Flowering,98,42,29.0,0
1998,Sandy Soil,Flowering,99,43,26.0,0
1999,Sandy Soil,Flowering,100,44,23.0,0
2000,Sandy Soil,Pollination,1,45,20.0,1
2001,Sandy Soil,Pollination,2,46,17.0,1
2002,Sandy Soil,Pollination,3,25,80.0,1
2003,Sandy Soil,Pollination,4,26,77.0,1
2004,Sandy Soil,Pollination,5,27,74.0,1
2005,Sandy Soil,Pollination,6,28,71.0,1
2006,Sandy Soil,Pollination,7,29,68.0,1
2007,Sandy Soil,Pollination,8,30,65.0,1
2008,Sandy Soil,Pollination,9,31,62.0,1
2009,Sandy Soil,Pollination,10,32,59.0,1
2010,Sandy Soil,Pollination,11,33,56.0,1
2011,Sandy Soil,Pollination,12,34,53.0,1
2012,Sandy Soil,Pollination,13,35,50.0,1
2013,Sandy Soil,Pollination,14,36,47.0,1
2014,Sandy Soil,Pollination,15,37,44.0,1
2015,Sandy Soil,Pollination,16,38,41.0,1
2016,Sandy Soil,Pollination,17,39,38.0,1
2017,Sandy Soil,Pollination,18,40,35.0,1
2018,Sandy Soil,Pollination,19,41,32.0,1
2019,Sandy Soil,Pollination,20,42,29.0,1
2020,Sandy Soil,Pollination,21,43,26.0,1
2021,Sandy Soil,Pollination,22,44,23.0,1
2022,Sandy Soil,Pollination,23,45,20.0,1
2023,Sandy Soil,Pollination,24,46,17.0,1
2024,Sandy Soil,Pollination,25,25,80.0,1
2025,Sandy Soil,Pollination,26,26,77.0,1
2026,Sandy Soil,Pollination,27,27,74.0,1
2027,Sandy Soil,Pollination,28,28,71.0,1
2028,Sandy Soil,Pollination,29,29,68.0,1
2029,Sandy Soil,Pollination,30,30,65.0,1
2030,Sandy Soil,Pollination,31,31,62.0,1
2031,Sandy Soil,Pollination,32,32,59.0,1
2032,Sandy Soil,Pollination,33,33,56.0,1
2033,Sandy Soil,Pollination,34,34,53.0,1
2034,Sandy Soil,Pollination,35,35,50.0,1
2035,Sandy Soil,Pollination,36,36,47.0,1
2036,Sandy Soil,Pollination,37,37,44.0,1
2037,Sandy Soil,Pollination,38,38,41.0,1
2038,Sandy Soil,Pollination,39,39,38.0,1
2039,Sandy Soil,Pollination,40,40,35.0,1
2040,Sandy Soil,Pollination,41,41,32.0,1
2041,Sandy Soil,Pollination,42,42,29.0,1
2042,Sandy Soil,Pollination,43,43,26.0,1
2043,Sandy Soil,Pollination,44,44,23.0,1
2044,Sandy Soil,Pollination,45,45,20.0,1
2045,Sandy Soil,Pollination,46,46,17.0,1
2046,Sandy Soil,Pollination,47,25,80.0,1
2047,Sandy Soil,Pollination,48,26,77.0,1
2048,Sandy Soil,Pollination,49,27,74.0,1
2049,Sandy Soil,Pollination,50,28,71.0,1
2050,Sandy Soil,Pollination,51,29,68.0,1
2051,Sandy Soil,Pollination,52,30,65.0,1
2052,Sandy Soil,Pollination,53,31,62.0,1
2053,Sandy Soil,Pollination,54,32,59.0,1
2054,Sandy Soil,Pollination,55,33,56.0,1
2055,Sandy Soil,Pollination,56,34,53.0,1
2056,Sandy Soil,Pollination,57,35,50.0,1
2057,Sandy Soil,Pollination,58,36,47.0,1
2058,Sandy Soil,Pollination,59,37,44.0,1
2059,Sandy Soil,Pollination,60,38,41.0,1
2060,Sandy Soil,Pollination,61,39,38.0,1
2061,Sandy Soil,Pollination,62,40,35.0,1
2062,Sandy Soil,Pollination,63,41,32.0,1
2063,Sandy Soil,Pollination,64,42,29.0,1
2064,Sandy Soil,Pollination,65,43,26.0,1
2065,Sandy Soil,Pollination,66,44,23.0,1
2066,Sandy Soil,Pollination,67,45,20.0,1
2067,Sandy Soil,Pollination,68,46,17.0,1
2068,Sandy Soil,Pollination,69,25,80.0,1
2080,Sandy Soil,Pollination,81,37,44.0,0
2081,Sandy Soil,Pollination,82,38,41.0,0
2082,Sandy Soil,Pollination,83,39,38.0,0
2083,Sandy Soil,Pollination,84,40,35.0,0
2084,Sandy Soil,Pollination,85,41,32.0,0
2085,Sandy Soil,Pollination,86,42,29.0,0
2086,Sandy Soil,Pollination,87,43,26.0,0
2087,Sandy Soil,Pollination,88,44,23.0,0
2088,Sandy Soil,Pollination,89,45,20.0,0
2089,Sandy Soil,Pollination,90,46,17.0,0
2090,Sandy Soil,Pollination,91,25,80.0,0
2091,Sandy Soil,Pollination,92,26,77.0,0
2092,Sandy Soil,Pollination,93,27,74.0,0
2093,Sandy Soil,Pollination,94,28,71.0,0
2094,Sandy Soil,Pollination,95,29,68.0,0
2095,Sandy Soil,Pollination,96,30,65.0,0
2096,Sandy Soil,Pollination,97,31,62.0,0
2097,Sandy Soil,Pollination,98,32,59.0,0
2098,Sandy Soil,Pollination,99,33,56.0,0
2099,Sandy Soil,Pollination,100,34,53.0,0
2100,Sandy Soil,Fruit/Grain/Bulb Formation,1,35,50.0,1
2101,Sandy Soil,Fruit/Grain/Bulb Formation,2,36,47.0,1
2102,Sandy Soil,Fruit/Grain/Bulb Formation,3,37,44.0,1
2103,Sandy Soil,Fruit/Grain/Bulb Formation,4,38,41.0,1
2104,Sandy Soil,Fruit/Grain/Bulb Formation,5,39,38.0,1
2105,Sandy Soil,Fruit/Grain/Bulb Formation,6,40,35.0,1
2106,Sandy Soil,Fruit/Grain/Bulb Formation,7,41,32.0,1
2107,Sandy Soil,Fruit/Grain/Bulb Formation,8,42,29.0,1
2108,Sandy Soil,Fruit/Grain/Bulb Formation,9,43,26.0,1
2109,Sandy Soil,Fruit/Grain/Bulb Formation,10,44,23.0,1
2110,Sandy Soil,Fruit/Grain/Bulb Formation,11,45,20.0,1
2111,Sandy Soil,Fruit/Grain/Bulb Formation,12,46,17.0,1
2112,Sandy Soil,Fruit/Grain/Bulb Formation,13,25,80.0,1
2113,Sandy Soil,Fruit/Grain/Bulb Formation,14,26,77.0,1
2114,Sandy Soil,Fruit/Grain/Bulb Formation,15,27,74.0,1
2115,Sandy Soil,Fruit/Grain/Bulb Formation,16,28,71.0,1
2116,Sandy Soil,Fruit/Grain/Bulb Formation,17,29,68.0,1
2117,Sandy Soil,Fruit/Grain/Bulb Formation,18,30,65.0,1
2118,Sandy Soil,Fruit/Grain/Bulb Formation,19,31,62.0,1
2119,Sandy Soil,Fruit/Grain/Bulb Formation,20,32,59.0,1
2120,Sandy Soil,Fruit/Grain/Bulb Formation,21,33,56.0,1
2121,Sandy Soil,Fruit/Grain/Bulb Formation,22,34,53.0,1
2122,Sandy Soil,Fruit/Grain/Bulb Formation,23,35,50.0,1
2123,Sandy Soil,Fruit/Grain/Bulb Formation,24,36,47.0,1
2124,Sandy Soil,Fruit/Grain/Bulb Formation,25,37,44.0,1
2125,Sandy Soil,Fruit/Grain/Bulb Formation,26,38,41.0,1
2126,Sandy Soil,Fruit/Grain/Bulb Formation,27,39,38.0,1
2127,Sandy Soil,Fruit/Grain/Bulb Formation,28,40,35.0,1
2128,Sandy Soil,Fruit/Grain/Bulb Formation,29,41,32.0,1
2129,Sandy Soil,Fruit/Grain/Bulb Formation,30,42,29.0,1
2130,Sandy Soil,Fruit/Grain/Bulb Formation,31,43,26.0,1
2131,Sandy Soil,Fruit/Grain/Bulb Formation,32,44,23.0,1
2132,Sandy Soil,Fruit/Grain/Bulb Formation,33,45,20.0,1
2133,Sandy Soil,Fruit/Grain/Bulb Formation,34,46,17.0,1
2134,Sandy Soil,Fruit/Grain/Bulb Formation,35,25,80.0,1
2135,Sandy Soil,Fruit/Grain/Bulb Formation,36,26,77.0,1
2136,Sandy Soil,Fruit/Grain/Bulb Formation,37,27,74.0,1
2137,Sandy Soil,Fruit/Grain/Bulb Formation,38,28,71.0,1
2138,Sandy Soil,Fruit/Grain/Bulb Formation,39,29,68.0,1
2139,Sandy Soil,Fruit/Grain/Bulb Formation,40,30,65.0,1
2140,Sandy Soil,Fruit/Grain/Bulb Formation,41,31,62.0,1
2141,Sandy Soil,Fruit/Grain/Bulb Formation,42,32,59.0,1
2142,Sandy Soil,Fruit/Grain/Bulb Formation,43,33,56.0,1
2143,Sandy Soil,Fruit/Grain/Bulb Formation,44,34,53.0,1
2144,Sandy Soil,Fruit/Grain/Bulb Formation,45,35,50.0,1
2145,Sandy Soil,Fruit/Grain/Bulb Formation,46,36,47.0,1
2146,Sandy Soil,Fruit/Grain/Bulb Formation,47,37,44.0,1
2147,Sandy Soil,Fruit/Grain/Bulb Formation,48,38,41.0,1
2148,Sandy Soil,Fruit/Grain/Bulb Formation,49,39,38.0,1
2149,Sandy Soil,Fruit/Grain/Bulb Formation,50,40,35.0,1
2150,Sandy Soil,Fruit/Grain/Bulb Formation,51,41,32.0,1
2151,Sandy Soil,Fruit/Grain/Bulb Formation,52,42,29.0,1
2152,Sandy Soil,Fruit/Grain/Bulb Formation,53,43,26.0,1
2153,Sandy Soil,Fruit/Grain/Bulb Formation,54,44,23.0,1
2154,Sandy Soil,Fruit/Grain/Bulb Formation,55,45,20.0,1
2155,Sandy Soil,Fruit/Grain/Bulb Formation,56,46,17.0,1
2156,Sandy Soil,Fruit/Grain/Bulb Formation,57,25,80.0,1
2157,Sandy Soil,Fruit/Grain/Bulb Formation,58,26,77.0,1
2158,Sandy Soil,Fruit/Grain/Bulb Formation,59,27,74.0,1
2159,Sandy Soil,Fruit/Grain/Bulb Formation,60,28,71.0,1
2160,Sandy Soil,Fruit/Grain/Bulb Formation,61,29,68.0,1
2161,Sandy Soil,Fruit/Grain/Bulb Formation,62,30,65.0,1
2162,Sandy Soil,Fruit/Grain/Bulb Formation,63,31,62.0,1
2163,Sandy Soil,Fruit/Grain/Bulb Formation,64,32,59.0,1
2164,Sandy Soil,Fruit/Grain/Bulb Formation,65,33,56.0,1
2165,Sandy Soil,Fruit/Grain/Bulb Formation,66,34,53.0,1
2166,Sandy Soil,Fruit/Grain/Bulb Formation,67,35,50.0,1
2167,Sandy Soil,Fruit/Grain/Bulb Formation,68,36,47.0,1
2168,Sandy Soil,Fruit/Grain/Bulb Formation,69,37,44.0,1
2180,Sandy Soil,Fruit/Grain/Bulb Formation,81,27,74.0,0
2181,Sandy Soil,Fruit/Grain/Bulb Formation,82,28,71.0,0
2182,Sandy Soil,Fruit/Grain/Bulb Formation,83,29,68.0,0
2183,Sandy Soil,Fruit/Grain/Bulb Formation,84,30,65.0,0
2184,Sandy Soil,Fruit/Grain/Bulb Formation,85,31,62.0,0
2185,Sandy Soil,Fruit/Grain/Bulb Formation,86,32,59.0,0
2186,Sandy Soil,Fruit/Grain/Bulb Formation,87,33,56.0,0
2187,Sandy Soil,Fruit/Grain/Bulb Formation,88,34,53.0,0
2188,Sandy Soil,Fruit/Grain/Bulb Formation,89,35,50.0,0
2189,Sandy Soil,Fruit/Grain/Bulb Formation,90,36,47.0,0
2190,Sandy Soil,Fruit/Grain/Bulb Formation,91,37,44.0,0
2191,Sandy Soil,Fruit/Grain/Bulb Formation,92,38,41.0,0
2192,Sandy Soil,Fruit/Grain/Bulb Formation,93,39,38.0,0
2193,Sandy Soil,Fruit/Grain/Bulb Formation,94,40,35.0,0
2194,Sandy Soil,Fruit/Grain/Bulb Formation,95,41,32.0,0
2195,Sandy Soil,Fruit/Grain/Bulb Formation,96,42,29.0,0
2196,Sandy Soil,Fruit/Grain/Bulb Formation,97,43,26.0,0
2197,Sandy Soil,Fruit/Grain/Bulb Formation,98,44,23.0,0
2198,Sandy Soil,Fruit/Grain/Bulb Formation,99,45,20.0,0
2199,Sandy Soil,Fruit/Grain/Bulb Formation,100,46,17.0,0
2200,Sandy Soil,Maturation,1,25,80.0,1
2201,Sandy Soil,Maturation,2,26,77.0,1
2202,Sandy Soil,Maturation,3,27,74.0,1
2203,Sandy Soil,Maturation,4,28,71.0,1
2204,Sandy Soil,Maturation,5,29,68.0,1
2205,Sandy Soil,Maturation,6,30,65.0,1
2206,Sandy Soil,Maturation,7,31,62.0,1
2207,Sandy Soil,Maturation,8,32,59.0,1
2208,Sandy Soil,Maturation,9,33,56.0,1
2209,Sandy Soil,Maturation,10,34,53.0,1
2210,Sandy Soil,Maturation,11,35,50.0,1
2211,Sandy Soil,Maturation,12,36,47.0,1
2212,Sandy Soil,Maturation,13,37,44.0,1
2213,Sandy Soil,Maturation,14,38,41.0,1
2214,Sandy Soil,Maturation,15,39,38.0,1
2215,Sandy Soil,Maturation,16,40,35.0,1
2216,Sandy Soil,Maturation,17,41,32.0,1
2217,Sandy Soil,Maturation,18,42,29.0,1
2218,Sandy Soil,Maturation,19,43,26.0,1
2219,Sandy Soil,Maturation,20,44,23.0,1
2220,Sandy Soil,Maturation,21,45,20.0,1
2221,Sandy Soil,Maturation,22,46,17.0,1
2222,Sandy Soil,Maturation,23,25,80.0,1
2223,Sandy Soil,Maturation,24,26,77.0,1
2224,Sandy Soil,Maturation,25,27,74.0,1
2225,Sandy Soil,Maturation,26,28,71.0,1
2226,Sandy Soil,Maturation,27,29,68.0,1
2227,Sandy Soil,Maturation,28,30,65.0,1
2228,Sandy Soil,Maturation,29,31,62.0,1
2229,Sandy Soil,Maturation,30,32,59.0,1
2230,Sandy Soil,Maturation,31,33,56.0,1
2231,Sandy Soil,Maturation,32,34,53.0,1
2232,Sandy Soil,Maturation,33,35,50.0,1
2233,Sandy Soil,Maturation,34,36,47.0,1
2234,Sandy Soil,Maturation,35,37,44.0,1
2235,Sandy Soil,Maturation,36,38,41.0,1
2236,Sandy Soil,Maturation,37,39,38.0,1
2237,Sandy Soil,Maturation,38,40,35.0,1
2238,Sandy Soil,Maturation,39,41,32.0,1
2239,Sandy Soil,Maturation,40,42,29.0,1
2240,Sandy Soil,Maturation,41,43,26.0,1
2241,Sandy Soil,Maturation,42,44,23.0,1
2242,Sandy Soil,Maturation,43,45,20.0,1
2243,Sandy Soil,Maturation,44,46,17.0,1
2244,Sandy Soil,Maturation,45,25,80.0,1
2245,Sandy Soil,Maturation,46,26,77.0,1
2246,Sandy Soil,Maturation,47,27,74.0,1
2247,Sandy Soil,Maturation,48,28,71.0,1
2248,Sandy Soil,Maturation,49,29,68.0,1
2249,Sandy Soil,Maturation,50,30,65.0,1
2250,Sandy Soil,Maturation,51,31,62.0,1
2251,Sandy Soil,Maturation,52,32,59.0,1
2252,Sandy Soil,Maturation,53,33,56.0,1
2253,Sandy Soil,Maturation,54,34,53.0,1
2254,Sandy Soil,Maturation,55,35,50.0,1
2255,Sandy Soil,Maturation,56,36,47.0,1
2256,Sandy Soil,Maturation,57,37,44.0,1
2257,Sandy Soil,Maturation,58,38,41.0,1
2258,Sandy Soil,Maturation,59,39,38.0,1
2259,Sandy Soil,Maturation,60,40,35.0,1
2260,Sandy Soil,Maturation,61,41,32.0,1
2261,Sandy Soil,Maturation,62,42,29.0,1
2262,Sandy Soil,Maturation,63,43,26.0,1
2263,Sandy Soil,Maturation,64,44,23.0,1
2264,Sandy Soil,Maturation,65,45,20.0,1
2265,Sandy Soil,Maturation,66,46,17.0,1
2266,Sandy Soil,Maturation,67,25,80.0,1
2267,Sandy Soil,Maturation,68,26,77.0,1
2268,Sandy Soil,Maturation,69,27,74.0,1
2280,Sandy Soil,Maturation,81,39,38.0,0
2281,Sandy Soil,Maturation,82,40,35.0,0
2282,Sandy Soil,Maturation,83,41,32.0,0
2283,Sandy Soil,Maturation,84,42,29.0,0
2284,Sandy Soil,Maturation,85,43,26.0,0
2285,Sandy Soil,Maturation,86,44,23.0,0
2286,Sandy Soil,Maturation,87,45,20.0,0
2287,Sandy Soil,Maturation,88,46,17.0,0
2288,Sandy Soil,Maturation,89,25,80.0,0
2289,Sandy Soil,Maturation,90,26,77.0,0
2290,Sandy Soil,Maturation,91,27,74.0,0
2291,Sandy Soil,Maturation,92,28,71.0,0
2292,Sandy Soil,Maturation,93,29,68.0,0
2293,Sandy Soil,Maturation,94,30,65.0,0
2294,Sandy Soil,Maturation,95,31,62.0,0
2295,Sandy Soil,Maturation,96,32,59.0,0
2296,Sandy Soil,Maturation,97,33,56.0,0
2297,Sandy Soil,Maturation,98,34,53.0,0
2298,Sandy Soil,Maturation,99,35,50.0,0
2299,Sandy Soil,Maturation,100,36,47.0,0
2300,Sandy Soil,Harvest,1,37,44.0,1
2301,Sandy Soil,Harvest,2,38,41.0,1
2302,Sandy Soil,Harvest,3,39,38.0,1
2303,Sandy Soil,Harvest,4,40,35.0,1
2304,Sandy Soil,Harvest,5,41,32.0,1
2305,Sandy Soil,Harvest,6,42,29.0,1
2306,Sandy Soil,Harvest,7,43,26.0,1
2307,Sandy Soil,Harvest,8,44,23.0,1
2308,Sandy Soil,Harvest,9,45,20.0,1
2309,Sandy Soil,Harvest,10,46,17.0,1
2310,Sandy Soil,Harvest,11,25,80.0,1
2311,Sandy Soil,Harvest,12,26,77.0,1
2312,Sandy Soil,Harvest,13,27,74.0,1
2313,Sandy Soil,Harvest,14,28,71.0,1
2314,Sandy Soil,Harvest,15,29,68.0,1
2315,Sandy Soil,Harvest,16,30,65.0,1
2316,Sandy Soil,Harvest,17,31,62.0,1
2317,Sandy Soil,Harvest,18,32,59.0,1
2318,Sandy Soil,Harvest,19,33,56.0,1
2319,Sandy Soil,Harvest,20,34,53.0,1
2320,Sandy Soil,Harvest,21,35,50.0,1
2321,Sandy Soil,Harvest,22,36,47.0,1
2322,Sandy Soil,Harvest,23,37,44.0,1
2323,Sandy Soil,Harvest,24,38,41.0,1
2324,Sandy Soil,Harvest,25,39,38.0,1
2325,Sandy Soil,Harvest,26,40,35.0,1
2326,Sandy Soil,Harvest,27,41,32.0,1
2327,Sandy Soil,Harvest,28,42,29.0,1
2328,Sandy Soil,Harvest,29,43,26.0,1
2329,Sandy Soil,Harvest,30,44,23.0,1
2330,Sandy Soil,Harvest,31,45,20.0,1
2331,Sandy Soil,Harvest,32,46,17.0,1
2332,Sandy Soil,Harvest,33,25,80.0,1
2333,Sandy Soil,Harvest,34,26,77.0,1
2334,Sandy Soil,Harvest,35,27,74.0,1
2335,Sandy Soil,Harvest,36,28,71.0,1
2336,Sandy Soil,Harvest,37,29,68.0,1
2337,Sandy Soil,Harvest,38,30,65.0,1
2338,Sandy Soil,Harvest,39,31,62.0,1
2339,Sandy Soil,Harvest,40,32,59.0,1
2340,Sandy Soil,Harvest,41,33,56.0,1
2341,Sandy Soil,Harvest,42,34,53.0,1
2342,Sandy Soil,Harvest,43,35,50.0,1
2343,Sandy Soil,Harvest,44,36,47.0,1
2344,Sandy Soil,Harvest,45,37,44.0,1
2345,Sandy Soil,Harvest,46,38,41.0,1
2346,Sandy Soil,Harvest,47,39,38.0,1
2347,Sandy Soil,Harvest,48,40,35.0,1
2348,Sandy Soil,Harvest,49,41,32.0,1
2349,Sandy Soil,Harvest,50,42,29.0,1
2350,Sandy Soil,Harvest,51,43,26.0,1
2351,Sandy Soil,Harvest,52,44,23.0,1
2352,Sandy Soil,Harvest,53,45,20.0,1
2353,Sandy Soil,Harvest,54,46,17.0,1
2354,Sandy Soil,Harvest,55,25,80.0,1
2355,Sandy Soil,Harvest,56,26,77.0,1
2356,Sandy Soil,Harvest,57,27,74.0,1
2357,Sandy Soil,Harvest,58,28,71.0,1
2358,Sandy Soil,Harvest,59,29,68.0,1
2370,Sandy Soil,Harvest,71,41,32.0,0
2371,Sandy Soil,Harvest,72,42,29.0,0
2372,Sandy Soil,Harvest,73,43,26.0,0
2373,Sandy Soil,Harvest,74,44,23.0,0
2374,Sandy Soil,Harvest,75,45,20.0,0
2375,Sandy Soil,Harvest,76,46,17.0,0
2376,Sandy Soil,Harvest,77,25,80.0,0
2377,Sandy Soil,Harvest,78,26,77.0,0
2378,Sandy Soil,Harvest,79,27,74.0,0
2379,Sandy Soil,Harvest,80,28,71.0,0
2380,Sandy Soil,Harvest,81,29,68.0,0
2381,Sandy Soil,Harvest,82,30,65.0,0
2382,Sandy Soil,Harvest,83,31,62.0,0
2383,Sandy Soil,Harvest,84,32,59.0,0
2384,Sandy Soil,Harvest,85,33,56.0,0
2385,Sandy Soil,Harvest,86,34,53.0,0
2386,Sandy Soil,Harvest,87,35,50.0,0
2387,Sandy Soil,Harvest,88,36,47.0,0
2388,Sandy Soil,Harvest,89,37,44.0,0
2389,Sandy Soil,Harvest,90,38,41.0,0
2390,Sandy Soil,Harvest,91,39,38.0,0
2391,Sandy Soil,Harvest,92,40,35.0,0
2392,Sandy Soil,Harvest,93,41,32.0,0
2393,Sandy Soil,Harvest,94,42,29.0,0
2394,Sandy Soil,Harvest,95,43,26.0,0
2395,Sandy Soil,Harvest,96,44,23.0,0
2396,Sandy Soil,Harvest,97,45,20.0,0
2397,Sandy Soil,Harvest,98,46,17.0,0
2398,Sandy Soil,Harvest,99,25,80.0,0
2399,Sandy Soil,Harvest,100,26,77.0,0
2400,Red Soil,Germination,1,27,74.0,1
2401,Red Soil,Germination,2,28,71.0,1
2402,Red Soil,Germination,3,29,68.0,1
2403,Red Soil,Germination,4,30,65.0,1
2404,Red Soil,Germination,5,31,62.0,1
2405,Red Soil,Germination,6,32,59.0,1
2406,Red Soil,Germination,7,33,56.0,1
2407,Red Soil,Germination,8,34,53.0,1
2408,Red Soil,Germination,9,35,50.0,1
2409,Red Soil,Germination,10,36,47.0,1
2410,Red Soil,Germination,11,37,44.0,1
2411,Red Soil,Germination,12,38,41.0,1
2412,Red Soil,Germination,13,39,38.0,1
2413,Red Soil,Germination,14,40,35.0,1
2414,Red Soil,Germination,15,41,32.0,1
2415,Red Soil,Germination,16,42,29.0,1
2416,Red Soil,Germination,17,43,26.0,1
2417,Red Soil,Germination,18,44,23.0,1
2418,Red Soil,Germination,19,45,20.0,1
2419,Red Soil,Germination,20,46,17.0,1
2420,Red Soil,Germination,21,25,80.0,1
2421,Red Soil,Germination,22,26,77.5,1
2422,Red Soil,Germination,23,27,75.0,1
2423,Red Soil,Germination,24,28,72.5,1
2424,Red Soil,Germination,25,29,70.0,1
2425,Red Soil,Germination,26,30,67.5,1
2426,Red Soil,Germination,27,31,65.0,1
2427,Red Soil,Germination,28,32,62.5,1
2428,Red Soil,Germination,29,33,60.0,1
2440,Red Soil,Germination,41,45,30.0,0
2441,Red Soil,Germination,42,46,27.5,0
2442,Red Soil,Germination,43,25,80.0,0
2443,Red Soil,Germination,44,26,77.3,0
2444,Red Soil,Germination,45,27,74.6,0
2445,Red Soil,Germination,46,28,71.9,0
2446,Red Soil,Germination,47,29,69.2,0
2447,Red Soil,Germination,48,30,66.5,0
2448,Red Soil,Germination,49,31,63.8,0
2449,Red Soil,Germination,50,32,61.1,0
2450,Red Soil,Germination,51,33,58.4,0
2451,Red Soil,Germination,52,34,55.7,0
2452,Red Soil,Germination,53,35,53.0,0
2453,Red Soil,Germination,54,36,50.3,0
2454,Red Soil,Germination,55,37,47.6,0
2455,Red Soil,Germination,56,38,44.9,0
2456,Red Soil,Germination,57,39,42.2,0
2457,Red Soil,Germination,58,40,39.5,0
2458,Red Soil,Germination,59,41,36.8,0
2459,Red Soil,Germination,60,42,34.1,0
2460,Red Soil,Germination,61,43,31.4,0
2461,Red Soil,Germination,62,44,28.7,0
2462,Red Soil,Germination,63,45,26.0,0
2463,Red Soil,Germination,64,46,23.3,0
2464,Red Soil,Germination,65,25,80.0,0
2465,Red Soil,Germination,66,26,78.0,0
2466,Red Soil,Germination,67,27,76.0,0
2467,Red Soil,Germination,68,28,74.0,0
2468,Red Soil,Germination,69,29,72.0,0
2469,Red Soil,Germination,70,30,70.0,0
2470,Red Soil,Germination,71,31,68.0,0
2471,Red Soil,Germination,72,32,66.0,0
2472,Red Soil,Germination,73,33,64.0,0
2473,Red Soil,Germination,74,34,62.0,0
2474,Red Soil,Germination,75,35,60.0,0
2475,Red Soil,Germination,76,36,58.0,0
2476,Red Soil,Germination,77,37,56.0,0
2477,Red Soil,Germination,78,38,54.0,0
2478,Red Soil,Germination,79,39,52.0,0
2479,Red Soil,Germination,80,40,50.0,0
2480,Red Soil,Germination,81,41,48.0,0
2481,Red Soil,Germination,82,42,46.0,0
2482,Red Soil,Germination,83,43,44.0,0
2483,Red Soil,Germination,84,44,42.0,0
2484,Red Soil,Germination,85,45,40.0,0
2485,Red Soil,Germination,86,46,38.0,0
2486,Red Soil,Germination,87,25,80.0,0
2487,Red Soil,Germination,88,26,78.0,0
2488,Red Soil,Germination,89,27,76.0,0
2489,Red Soil,Germination,90,28,74.0,0
2490,Red Soil,Germination,91,29,72.0,0
2491,Red Soil,Germination,92,30,70.0,0
2492,Red Soil,Germination,93,31,68.0,0
2493,Red Soil,Germination,94,32,66.0,0
2494,Red Soil,Germination,95,33,64.0,0
2495,Red Soil,Germination,96,34,62.0,0
2496,Red Soil,Germination,97,35,60.0,0
2497,Red Soil,Germination,98,36,58.0,0
2498,Red Soil,Germination,99,37,56.0,0
2499,Red Soil,Germination,100,38,54.0,0
2500,Red Soil,Seedling Stage,1,39,52.0,1
2501,Red Soil,Seedling Stage,2,40,50.0,1
2502,Red Soil,Seedling Stage,3,41,48.0,1
2503,Red Soil,Seedling Stage,4,42,46.0,1
2504,Red Soil,Seedling Stage,5,43,44.0,1
2505,Red Soil,Seedling Stage,6,44,42.0,1
2506,Red Soil,Seedling Stage,7,45,40.0,1
2507,Red Soil,Seedling Stage,8,46,38.0,1
2508,Red Soil,Seedling Stage,9,25,80.0,1
2509,Red Soil,Seedling Stage,10,26,77.0,1
2510,Red Soil,Seedling Stage,11,27,74.0,1
2511,Red Soil,Seedling Stage,12,28,71.0,1
2512,Red Soil,Seedling Stage,13,29,68.0,1
2513,Red Soil,Seedling Stage,14,30,65.0,1
2514,Red Soil,Seedling Stage,15,31,62.0,1
2515,Red Soil,Seedling Stage,16,32,59.0,1
2516,Red Soil,Seedling Stage,17,33,56.0,1
2517,Red Soil,Seedling Stage,18,34,53.0,1
2518,Red Soil,Seedling Stage,19,35,50.0,1
2519,Red Soil,Seedling Stage,20,36,47.0,1
2520,Red Soil,Seedling Stage,21,37,44.0,1
2521,Red Soil,Seedling Stage,22,38,41.0,1
2522,Red Soil,Seedling Stage,23,39,38.0,1
2523,Red Soil,Seedling Stage,24,40,35.0,1
2524,Red Soil,Seedling Stage,25,41,32.0,1
2525,Red Soil,Seedling Stage,26,42,29.0,1
2526,Red Soil,Seedling Stage,27,43,26.0,1
2527,Red Soil,Seedling Stage,28,44,23.0,1
2528,Red Soil,Seedling Stage,29,45,20.0,1
2529,Red Soil,Seedling Stage,30,46,17.0,1
2530,Red Soil,Seedling Stage,31,25,80.0,1
2531,Red Soil,Seedling Stage,32,26,77.0,1
2532,Red Soil,Seedling Stage,33,27,74.0,1
2533,Red Soil,Seedling Stage,34,28,71.0,1
2534,Red Soil,Seedling Stage,35,29,68.0,1
2535,Red Soil,Seedling Stage,36,30,65.0,1
2536,Red Soil,Seedling Stage,37,31,62.0,1
2537,Red Soil,Seedling Stage,38,32,59.0,1
2538,Red Soil,Seedling Stage,39,33,56.0,1
2550,Red Soil,Seedling Stage,51,45,20.0,0
2551,Red Soil,Seedling Stage,52,46,17.0,0
2552,Red Soil,Seedling Stage,53,25,80.0,0
2553,Red Soil,Seedling Stage,54,26,77.0,0
2554,Red Soil,Seedling Stage,55,27,74.0,0
2555,Red Soil,Seedling Stage,56,28,71.0,0
2556,Red Soil,Seedling Stage,57,29,68.0,0
2557,Red Soil,Seedling Stage,58,30,65.0,0
2558,Red Soil,Seedling Stage,59,31,62.0,0
2559,Red Soil,Seedling Stage,60,32,59.0,0
2560,Red Soil,Seedling Stage,61,33,56.0,0
2561,Red Soil,Seedling Stage,62,34,53.0,0
